date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,temperature_2m,dew_point_2m,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation,cloud_cover,relative_humidity_2m,aqicn_AQI,aqicn_PM2.5,aqicn_PM10,aqicn_NO2,aqicn_CO,aqicn_SO2,aqicn_O3,aqicn_AQI_high_missing,aqicn_PM2.5_high_missing,aqicn_PM10_high_missing,aqicn_NO2_high_missing,aqicn_CO_high_missing,aqicn_SO2_high_missing,aqicn_O3_high_missing
2022-04-04,40.68333333333333,37.52916666666667,972.75,20.754166666666666,17.966666666666665,-1.3930894789439374,-1.750277726413023,1.1932843233578747,-0.6746303566350932,-2.1069730728723988,-0.17890919823372994,1.1142225626246318,-1.6494740098773555,25.0,25.0,22.0,8.75,6.1,10.0,6.65,1,1,1,1,1,1,1
2025-01-01,40.68333333333333,37.52916666666667,972.75,20.754166666666666,17.966666666666665,-1.3930894789439374,-1.750277726413023,1.1932843233578747,-0.6746303566350932,-2.1069730728723988,-0.17890919823372994,1.1142225626246318,-1.6494740098773555,25.0,25.0,22.0,8.75,6.1,10.0,6.65,1,1,1,1,1,1,1
2025-01-02,55.400000000000006,51.337500000000006,1431.6666666666667,32.391666666666666,23.758333333333333,-1.5404749822466295,-1.3094937338310866,1.080585130503994,-0.9759375650225843,-1.35494795333471,-0.17890919823372994,1.7330083915222518,-1.0289448085447035,25.0,25.0,22.0,8.75,6.1,10.0,6.65,1,1,1,1,1,1,1
2025-01-03,72.95833333333333,66.60833333333333,1241.0416666666667,35.795833333333334,30.424999999999997,-1.5255228297376606,-0.8839655531061268,1.0336271334815437,-1.2406844845262375,-1.08752273801524,-0.17890919823372994,-0.324105072513162,-0.4675136263865898,25.0,25.0,22.0,8.75,6.1,10.0,6.65,1,1,1,1,1,1,1
2025-01-04,69.32916666666667,51.67916666666667,776.3333333333334,36.06666666666667,24.8125,-1.3471650105235344,-0.9144771768200802,0.8495517851535522,-0.23212479117898757,1.2084064863797783,-0.17890919823372994,-0.744676138971298,-0.48228813118022434,25.0,25.0,22.0,8.75,6.1,10.0,6.65,1,1,1,1,1,1,1
2025-01-05,55.06666666666667,40.22083333333333,908.6666666666666,39.32083333333333,26.183333333333334,-1.9911755793026842,-1.409201361324899,0.9647554045152946,-1.1322643174914078,-0.29795412172643726,-0.17890919823372994,-0.9390790790561765,-0.9550722845765306,25.0,25.0,22.0,8.75,6.1,10.0,6.65,1,1,1,1,1,1,1
2025-01-06,35.25833333333333,31.079166666666666,1103.7083333333333,41.30833333333333,21.633333333333333,-1.8875785226334016,-1.8472611017895184,1.331027781290407,-1.1347857167247761,-1.7084344150528863,-0.17890919823372994,-0.9390790790561765,-1.4869544571473752,25.0,25.0,22.0,8.75,6.1,10.0,6.65,1,1,1,1,1,1,1
2025-01-07,22.954166666666666,21.924999999999997,958.9166666666666,31.350000000000005,15.595833333333335,-1.79786560757959,-2.58989222897021,1.4931893976745996,-0.8120466148536564,-1.9065485594472238,-0.17890919823372994,-0.9390790790561765,-2.2798528810724306,25.0,25.0,22.0,8.75,6.1,10.0,6.65,1,1,1,1,1,1,1
2025-01-08,28.0875,27.829166666666666,1175.4166666666667,37.4375,30.141666666666666,-2.07448042899551,-2.007447126287775,1.048653692528731,-1.3011980661270726,-0.9483230039072653,-0.17890919823372994,-0.9390790790561765,-1.5485148937875195,25.0,25.0,22.0,8.75,6.1,10.0,6.65,1,1,1,1,1,1,1
2025-01-09,34.52916666666667,33.829166666666666,1418.375,44.02916666666667,24.170833333333334,-1.851266152254478,-1.3329223020400154,0.7756712031715797,-1.2911124691935998,-1.209972296649641,-0.17890919823372994,-0.9390790790561765,-0.6792815284286854,25.0,25.0,22.0,8.75,6.1,10.0,6.65,1,1,1,1,1,1,1
2025-01-10,46.358333333333334,45.6875,1071.2083333333333,53.05833333333333,24.416666666666668,-1.521250786163669,-1.5819189455628149,0.9259367936434206,-1.0276262493066308,-1.6229507609118894,-0.17890919823372994,-0.5833089926263334,-1.4426309427664714,25.0,25.0,22.0,8.75,6.1,10.0,6.65,1,1,1,1,1,1,1
