label,MAE,RMSE,R2,model,target
LinearRegression,2.8323022939326216e-14,3.300498839415833e-14,1.0,LinearRegression,pm2_5
RandomForest(default),2.7104322916666654,3.602889784106205,0.8749779105715167,RandomForest,pm2_5
XGBoost(default),2.7373941933667214,3.812852281171624,0.8599817133290611,XGBoost,pm2_5
SVR(rbf),7.918996258927261,10.409554261256106,-0.04363603414918171,SVR,pm2_5
RF(tuned),2.6053186003585243,3.5747290185649363,0.8769246581603524,RF_tuned,pm2_5
XGB(tuned),2.387601914229217,3.276997326645937,0.8965722747061002,XGB_tuned,pm2_5
LinearRegression,2.590520390792032e-14,3.207569052774362e-14,1.0,LinearRegression,pm10
RandomForest(default),2.9792204861111156,5.244839094067718,0.9033835548963424,RandomForest,pm10
XGBoost(default),2.6121369979999676,4.749769575675108,0.9207623113800014,XGBoost,pm10
SVR(rbf),12.706611276460059,16.577088980547426,0.034831247262533505,SVR,pm10
RF(tuned),3.0506824845678886,5.072934184207458,0.909613166597169,RF_tuned,pm10
XGB(tuned),2.3324810063397443,3.4163719589989916,0.9590063099491618,XGB_tuned,pm10
LinearRegression,1.0460768054245919e-13,1.3601733916707066e-13,0.0,LinearRegression,aqicn_AQI
RandomForest(default),28.106666666666666,34.423495851912925,0.0,RandomForest,aqicn_AQI
XGBoost(default),7.62939453125e-05,7.62939453125e-05,0.0,XGBoost,aqicn_AQI
SVR(rbf),33.49243907124483,34.748708259194316,0.0,SVR,aqicn_AQI
RF(tuned),21.75999999999999,26.65044840148097,0.0,RF_tuned,aqicn_AQI
XGB(tuned),7.62939453125e-05,7.62939453125e-05,0.0,XGB_tuned,aqicn_AQI
