model,target,max_depth,n_estimators,cv_mae,learning_rate
RF,pm2_5,5.0,100,3.2442104545441284,
RF,pm2_5,5.0,200,3.1879516065570543,
RF,pm2_5,5.0,300,3.1403935131926692,
RF,pm2_5,10.0,100,3.0877630663417763,
RF,pm2_5,10.0,200,3.018793874817953,
RF,pm2_5,10.0,300,2.985742820477673,
RF,pm2_5,,100,3.073802272727274,
RF,pm2_5,,200,3.0118546212121213,
RF,pm2_5,,300,2.9864536363636294,
XGB,pm2_5,3.0,100,4.771657229799213,0.01
XGB,pm2_5,3.0,200,3.465249850186434,0.01
XGB,pm2_5,6.0,100,5.11732127195416,0.01
XGB,pm2_5,6.0,200,3.928306261467211,0.01
XGB,pm2_5,9.0,100,5.1271098383123235,0.01
XGB,pm2_5,9.0,200,4.004550857543945,0.01
XGB,pm2_5,3.0,100,2.284940314784195,0.1
XGB,pm2_5,3.0,200,2.27530942327326,0.1
XGB,pm2_5,6.0,100,3.2720182862715292,0.1
XGB,pm2_5,6.0,200,3.2690877179232514,0.1
XGB,pm2_5,9.0,100,3.4343626755223133,0.1
XGB,pm2_5,9.0,200,3.429290667909565,0.1
RF,pm10,5.0,100,8.220708810033356,
RF,pm10,5.0,200,8.334772284584513,
RF,pm10,5.0,300,8.172233511874277,
RF,pm10,10.0,100,7.675063305013697,
RF,pm10,10.0,200,7.689704646319119,
RF,pm10,10.0,300,7.620896262284992,
RF,pm10,,100,7.655013636363639,
RF,pm10,,200,7.700108560606061,
RF,pm10,,300,7.606663535353531,
XGB,pm10,3.0,100,12.808714004054215,0.01
XGB,pm10,3.0,200,10.163320185805812,0.01
XGB,pm10,6.0,100,12.424617078376539,0.01
XGB,pm10,6.0,200,9.557204190803295,0.01
XGB,pm10,9.0,100,12.46066644841974,0.01
XGB,pm10,9.0,200,9.725837605331884,0.01
XGB,pm10,3.0,100,6.989161524454753,0.1
XGB,pm10,3.0,200,6.964927845348011,0.1
XGB,pm10,6.0,100,8.033134006847034,0.1
XGB,pm10,6.0,200,8.031663586703212,0.1
XGB,pm10,9.0,100,8.335531966700698,0.1
XGB,pm10,9.0,200,8.329355763753256,0.1
RF,aqicn_AQI,5.0,100,27.392872727272724,
RF,aqicn_AQI,5.0,200,27.313745454545455,
RF,aqicn_AQI,5.0,300,27.328581818181817,
RF,aqicn_AQI,10.0,100,27.392872727272724,
RF,aqicn_AQI,10.0,200,27.313745454545455,
RF,aqicn_AQI,10.0,300,27.328581818181817,
RF,aqicn_AQI,,100,27.392872727272724,
RF,aqicn_AQI,,200,27.313745454545455,
RF,aqicn_AQI,,300,27.328581818181817,
XGB,aqicn_AQI,3.0,100,40.849423217773435,0.01
XGB,aqicn_AQI,3.0,200,32.25279235839844,0.01
XGB,aqicn_AQI,6.0,100,40.849423217773435,0.01
XGB,aqicn_AQI,6.0,200,32.25279235839844,0.01
XGB,aqicn_AQI,9.0,100,40.849423217773435,0.01
XGB,aqicn_AQI,9.0,200,32.25279235839844,0.01
XGB,aqicn_AQI,3.0,100,27.201113891601562,0.1
XGB,aqicn_AQI,3.0,200,27.20006408691406,0.1
XGB,aqicn_AQI,6.0,100,27.201113891601562,0.1
XGB,aqicn_AQI,6.0,200,27.20006408691406,0.1
XGB,aqicn_AQI,9.0,100,27.201113891601562,0.1
XGB,aqicn_AQI,9.0,200,27.20006408691406,0.1
